LAST SEEN   TYPE      REASON                         OBJECT                                 MESSAGE
7m8s        Normal    Pulled                         pod/test-app-76965d5454-wt57p          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.272s (2.516s including waiting). Image size: 347424850 bytes.
7m6s        Normal    Pulled                         pod/test-app-76965d5454-v5g5t          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.28s (3.794s including waiting). Image size: 347424850 bytes.
6m56s       Normal    SuccessfulRescale              horizontalpodautoscaler/test-app-hpa   New size: 6; reason:
6m56s       Normal    SuccessfulCreate               replicaset/test-app-76965d5454         Created pod: test-app-76965d5454-jkj68
6m56s       Normal    SuccessfulCreate               replicaset/test-app-76965d5454         Created pod: test-app-76965d5454-xwdxf
6m54s       Normal    Pulled                         pod/test-app-76965d5454-jkj68          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.247s (1.247s including waiting). Image size: 347424850 bytes.
6m53s       Normal    Pulled                         pod/test-app-76965d5454-xwdxf          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.251s (2.441s including waiting). Image size: 347424850 bytes.
6m15s       Normal    Pulled                         pod/test-app-76965d5454-76xcp          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.438s (1.438s including waiting). Image size: 347424850 bytes.
5m54s       Normal    Pulled                         pod/test-app-76965d5454-v5g5t          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.304s (1.304s including waiting). Image size: 347424850 bytes.
3m11s       Normal    SuccessfulRescale              horizontalpodautoscaler/test-app-hpa   New size: 7; reason: memory resource utilization (percentage of request) above target
3m11s       Normal    ScalingReplicaSet              deployment/test-app                    (combined from similar events): Scaled up replica set test-app-76965d5454 from 6 to 7
3m11s       Normal    SuccessfulCreate               replicaset/test-app-76965d5454         Created pod: test-app-76965d5454-lm2lb
3m9s        Normal    Pulled                         pod/test-app-76965d5454-lm2lb          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.453s (1.453s including waiting). Image size: 347424850 bytes.
2m2s        Normal    Pulled                         pod/test-app-76965d5454-jkj68          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.608s (1.608s including waiting). Image size: 347424850 bytes.
100s        Warning   BackOff                        pod/test-app-76965d5454-76xcp          Back-off restarting failed container test-app in pod test-app-76965d5454-76xcp_default(0f44bd1c-0e80-48f3-9f33-321ed5c37a1c)
98s         Warning   BackOff                        pod/test-app-76965d5454-v5g5t          Back-off restarting failed container test-app in pod test-app-76965d5454-v5g5t_default(c1314b17-79b9-4838-9af9-882cd515f414)
95s         Normal    Pulling                        pod/test-app-76965d5454-xwdxf          Pulling image "lkuzmicheva/pod-info-app"
94s         Normal    Pulled                         pod/test-app-76965d5454-xwdxf          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.277s (1.277s including waiting). Image size: 347424850 bytes.
94s         Normal    Started                        pod/test-app-76965d5454-xwdxf          Started container test-app
94s         Normal    Created                        pod/test-app-76965d5454-xwdxf          Created container: test-app
92s         Normal    Pulled                         pod/test-app-76965d5454-wt57p          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.251s (1.251s including waiting). Image size: 347424850 bytes.
92s         Normal    Pulling                        pod/test-app-76965d5454-dfbq8          Pulling image "lkuzmicheva/pod-info-app"
91s         Normal    Pulled                         pod/test-app-76965d5454-dfbq8          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.259s (1.498s including waiting). Image size: 347424850 bytes.
91s         Normal    Created                        pod/test-app-76965d5454-dfbq8          Created container: test-app
91s         Normal    Started                        pod/test-app-76965d5454-dfbq8          Started container test-app
88s         Normal    Pulling                        pod/test-app-76965d5454-v5g5t          Pulling image "lkuzmicheva/pod-info-app"
87s         Normal    Pulling                        pod/test-app-76965d5454-76xcp          Pulling image "lkuzmicheva/pod-info-app"
86s         Normal    Started                        pod/test-app-76965d5454-v5g5t          Started container test-app
86s         Normal    Created                        pod/test-app-76965d5454-v5g5t          Created container: test-app
86s         Normal    Pulled                         pod/test-app-76965d5454-v5g5t          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.25s (1.25s including waiting). Image size: 347424850 bytes.
85s         Normal    Created                        pod/test-app-76965d5454-76xcp          Created container: test-app
85s         Normal    Started                        pod/test-app-76965d5454-76xcp          Started container test-app
85s         Normal    Pulled                         pod/test-app-76965d5454-76xcp          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.24s (1.49s including waiting). Image size: 347424850 bytes.
59s         Normal    Pulling                        pod/test-app-76965d5454-lm2lb          Pulling image "lkuzmicheva/pod-info-app"
58s         Normal    Pulled                         pod/test-app-76965d5454-lm2lb          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.274s (1.274s including waiting). Image size: 347424850 bytes.
58s         Normal    Created                        pod/test-app-76965d5454-lm2lb          Created container: test-app
58s         Normal    Started                        pod/test-app-76965d5454-lm2lb          Started container test-app
25s         Warning   BackOff                        pod/test-app-76965d5454-jkj68          Back-off restarting failed container test-app in pod test-app-76965d5454-jkj68_default(cf9aec86-0fa8-410b-9830-65e69b5fdff5)
22s         Warning   BackOff                        pod/test-app-76965d5454-wt57p          Back-off restarting failed container test-app in pod test-app-76965d5454-wt57p_default(682a0229-a7ed-4c4e-84c3-c48bf67fb85b)
14s         Normal    Pulling                        pod/test-app-76965d5454-jkj68          Pulling image "lkuzmicheva/pod-info-app"
12s         Normal    Started                        pod/test-app-76965d5454-jkj68          Started container test-app
12s         Normal    Created                        pod/test-app-76965d5454-jkj68          Created container: test-app
12s         Normal    Pulled                         pod/test-app-76965d5454-jkj68          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.305s (1.305s including waiting). Image size: 347424850 bytes.
10s         Normal    Pulling                        pod/test-app-76965d5454-wt57p          Pulling image "lkuzmicheva/pod-info-app"
8s          Normal    Pulled                         pod/test-app-76965d5454-wt57p          Successfully pulled image "lkuzmicheva/pod-info-app" in 1.25s (1.25s including waiting). Image size: 347424850 bytes.
8s          Normal    Started                        pod/test-app-76965d5454-wt57p          Started container test-app
8s          Normal    Created                        pod/test-app-76965d5454-wt57p          Created container: test-app
